iter	RMSE
0	14.0787068
1	13.23123718
2	12.50743601
3	11.7417629
4	11.03753341
5	10.48881552
6	9.967428425
7	9.520968451
8	9.087854041
9	8.704129494
10	8.330825846
11	8.006138233
12	7.754142682
13	7.53865528
14	7.291206591
15	7.095281171
16	6.91655441
17	6.775883556
18	6.637339397
19	6.538056772
20	6.428252115
21	6.319259865
22	6.215911632
23	6.098676828
24	6.011400828
25	5.936990342
26	5.850885902
27	5.796540935
28	5.743026255
29	5.683390816
30	5.643229683
31	5.611335934
32	5.570790017
33	5.5254899
34	5.492740309
35	5.449821629
36	5.423055915
37	5.389229835
38	5.365268719
39	5.34155143
40	5.317541172
41	5.297824925
42	5.273112334
43	5.246772142
44	5.21907766
45	5.198411317
46	5.178186761
47	5.158720844
48	5.142896828
49	5.129293336
50	5.118477782
51	5.104949937
52	5.081484741
53	5.06374915
54	5.053598386
55	5.047923414
56	5.043200821
57	5.032249981
58	5.028289854
59	5.017009054
60	5.010195911
61	4.996450034
62	4.988539061
63	4.978548178
64	4.964083785
65	4.951508363
66	4.935832171
67	4.919398253
68	4.917119234
69	4.9023428
70	4.893849748
71	4.882659996
72	4.869274801
73	4.860038464
74	4.850770202
75	4.842464271
76	4.828647249
77	4.820576365
78	4.812191428
79	4.805484829
80	4.79438096
81	4.788759964
82	4.783716604
83	4.779515522
84	4.772788117
85	4.764847145
86	4.758718527
87	4.750632565
88	4.748016663
89	4.739559617
90	4.736511475
91	4.73346968
92	4.72372205
93	4.720751803
94	4.718566167
95	4.706167825
96	4.700085019
97	4.696134471
98	4.688300234
99	4.683015098
