iter	Passed	Remaining
0	115	115379
1	119	59702
2	124	41440
3	129	32251
4	131	26248
5	133	22125
6	134	19129
7	135	16810
8	136	15046
9	138	13669
10	139	12534
11	140	11561
12	141	10741
13	142	10044
14	143	9450
15	145	8936
16	146	8462
17	147	8038
18	148	7650
19	149	7314
20	150	7011
21	154	6871
22	164	6973
23	167	6794
24	169	6626
25	171	6431
26	173	6267
27	175	6105
28	177	5947
29	179	5804
30	181	5661
31	182	5519
32	183	5387
33	185	5266
34	186	5148
35	187	5031
36	189	4920
37	190	4812
38	191	4715
39	192	4621
40	193	4526
41	194	4437
42	195	4355
43	196	4276
44	197	4198
45	202	4209
46	210	4259
47	213	4229
48	216	4196
49	218	4150
50	219	4092
51	222	4048
52	223	3998
53	225	3950
54	226	3898
55	228	3851
56	229	3801
57	231	3753
58	232	3708
59	233	3662
60	234	3616
61	236	3571
62	237	3527
63	238	3486
64	239	3445
65	240	3406
66	241	3366
67	242	3326
68	243	3288
69	244	3251
70	245	3214
71	246	3180
72	254	3237
73	260	3256
74	263	3247
75	266	3234
76	268	3217
77	270	3195
78	272	3174
79	273	3150
80	275	3127
81	277	3105
82	278	3074
83	279	3048
84	280	3024
85	282	3001
86	283	2978
87	285	2954
88	286	2933
89	287	2910
90	289	2887
91	290	2863
92	290	2835
93	291	2811
94	292	2788
95	293	2765
96	294	2743
97	295	2722
98	296	2697
99	299	2693
100	307	2736
101	310	2735
102	313	2729
103	315	2721
104	317	2709
105	319	2697
106	321	2685
107	323	2671
108	325	2657
109	326	2643
110	328	2627
111	329	2611
112	330	2595
113	332	2581
114	332	2562
115	334	2545
116	335	2528
117	336	2512
118	337	2496
119	338	2480
120	339	2465
121	340	2449
122	341	2433
123	342	2418
124	343	2403
125	344	2388
126	345	2373
127	353	2404
128	358	2418
129	361	2416
130	363	2413
131	366	2407
132	368	2400
133	370	2392
134	371	2383
135	373	2374
136	375	2364
137	376	2353
138	378	2342
139	379	2328
140	380	2316
141	381	2302
142	382	2291
143	383	2280
144	384	2268
145	386	2258
146	387	2247
147	388	2236
148	389	2225
149	390	2213
150	391	2202
151	392	2189
152	393	2175
153	394	2164
154	394	2153
155	395	2141
156	402	2161
157	407	2170
158	409	2168
159	412	2166
160	414	2161
161	417	2160
162	419	2155
163	421	2148
164	423	2140
165	424	2133
166	426	2125
167	427	2117
168	428	2108
169	430	2100
170	431	2093
171	436	2103
172	442	2112
173	445	2116
174	448	2116
175	451	2115
176	454	2111
177	456	2106
178	457	2100
179	459	2094
180	461	2087
181	463	2081
182	464	2073
183	465	2066
184	467	2058
185	468	2050
186	469	2042
187	470	2034
188	472	2025
189	473	2017
190	474	2009
191	475	2001
192	476	1993
193	477	1985
194	478	1976
195	479	1968
196	480	1960
197	487	1976
198	493	1985
199	496	1985
200	499	1983
201	501	1980
202	503	1976
203	505	1973
204	507	1967
205	509	1962
206	510	1956
207	512	1950
208	513	1943
209	514	1936
210	516	1929
211	517	1923
212	518	1916
213	519	1909
214	521	1903
215	522	1896
216	523	1889
217	524	1882
218	525	1875
219	526	1868
220	527	1860
221	528	1853
222	530	1846
223	534	1850
224	540	1863
225	544	1863
226	547	1863
227	549	1860
228	551	1857
229	553	1853
230	555	1849
231	557	1845
232	559	1840
233	560	1835
234	561	1829
235	563	1823
236	564	1818
237	566	1812
238	567	1806
239	568	1800
240	569	1793
241	570	1788
242	572	1782
243	573	1776
244	574	1769
245	575	1762
246	576	1756
247	577	1749
248	578	1743
249	579	1737
250	582	1737
251	589	1750
252	593	1751
253	595	1749
254	598	1748
255	600	1744
256	602	1742
257	604	1738
258	605	1733
259	607	1729
260	609	1724
261	610	1719
262	611	1714
263	613	1709
264	614	1704
265	615	1699
266	616	1693
267	618	1688
268	619	1682
269	620	1677
270	621	1672
271	622	1666
272	623	1660
273	624	1655
274	625	1649
275	626	1643
276	627	1638
277	629	1634
278	638	1649
279	641	1650
280	644	1649
281	647	1648
282	649	1645
283	651	1642
284	653	1639
285	655	1635
286	656	1631
287	658	1627
288	659	1622
289	660	1618
290	662	1613
291	663	1609
292	664	1604
293	666	1599
294	667	1594
295	668	1589
296	669	1584
297	670	1579
298	671	1574
299	672	1569
300	673	1564
301	674	1558
302	675	1553
303	676	1548
304	677	1543
305	684	1551
306	689	1556
307	692	1555
308	694	1553
309	697	1551
310	698	1548
311	700	1545
312	702	1542
313	704	1538
314	705	1534
315	707	1530
316	708	1527
317	710	1523
318	711	1519
319	713	1515
320	714	1511
321	715	1506
322	716	1502
323	717	1497
324	718	1493
325	720	1488
326	721	1484
327	722	1479
328	723	1475
329	724	1470
330	725	1465
331	726	1461
332	727	1456
333	728	1452
334	737	1463
335	740	1463
336	743	1462
337	746	1461
338	748	1459
339	750	1456
340	752	1454
341	754	1450
342	755	1447
343	757	1444
344	758	1440
345	760	1437
346	761	1433
347	762	1429
348	764	1425
349	765	1421
350	766	1417
351	767	1413
352	768	1409
353	770	1405
354	771	1401
355	772	1396
356	773	1392
357	774	1388
358	775	1384
359	776	1379
360	777	1375
361	777	1371
362	778	1366
363	788	1377
364	791	1377
365	794	1375
366	796	1374
367	798	1371
368	801	1369
369	802	1367
370	804	1364
371	806	1360
372	807	1358
373	809	1354
374	810	1350
375	811	1347
376	813	1343
377	814	1340
378	815	1336
379	816	1332
380	817	1328
381	818	1324
382	820	1321
383	821	1317
384	822	1313
385	823	1309
386	824	1305
387	825	1301
388	826	1297
389	827	1293
390	828	1289
391	832	1290
392	839	1296
393	841	1294
394	845	1294
395	847	1292
396	849	1289
397	851	1287
398	852	1284
399	854	1282
400	856	1279
401	858	1276
402	859	1273
403	860	1269
404	862	1266
405	863	1263
406	864	1259
407	865	1256
408	866	1252
409	867	1248
410	869	1245
411	870	1241
412	871	1238
413	872	1234
414	873	1230
415	874	1227
416	875	1223
417	876	1219
418	877	1216
419	880	1215
420	888	1221
421	891	1220
422	893	1219
423	895	1216
424	897	1214
425	900	1212
426	901	1210
427	903	1207
428	905	1204
429	906	1201
430	908	1199
431	909	1196
432	911	1193
433	912	1189
434	913	1186
435	914	1183
436	916	1180
437	917	1176
438	918	1173
439	919	1170
440	920	1166
441	921	1163
442	922	1160
443	923	1156
444	924	1153
445	925	1150
446	934	1155
447	937	1155
448	941	1154
449	943	1153
450	945	1151
451	947	1149
452	949	1147
453	951	1144
454	953	1141
455	954	1139
456	956	1136
457	957	1133
458	959	1130
459	960	1127
460	961	1124
461	962	1121
462	963	1118
463	965	1114
464	966	1111
465	967	1108
466	968	1105
467	969	1101
468	970	1098
469	971	1095
470	972	1092
471	973	1089
472	974	1086
473	984	1092
474	988	1092
475	992	1092
476	995	1090
477	997	1088
478	999	1086
479	1000	1084
480	1002	1081
481	1004	1079
482	1006	1077
483	1007	1074
484	1009	1071
485	1010	1068
486	1011	1065
487	1012	1062
488	1014	1059
489	1015	1056
490	1016	1053
491	1017	1050
492	1018	1047
493	1019	1044
494	1020	1041
495	1021	1038
496	1022	1035
497	1023	1032
498	1031	1035
499	1037	1037
500	1040	1036
501	1043	1034
502	1045	1032
503	1047	1030
504	1049	1028
505	1050	1025
506	1052	1023
507	1054	1021
508	1055	1018
509	1057	1015
510	1058	1012
511	1059	1010
512	1061	1007
513	1062	1004
514	1063	1001
515	1064	998
516	1065	995
517	1066	992
518	1067	989
519	1068	986
520	1069	983
521	1070	980
522	1071	977
523	1072	974
524	1073	971
525	1082	975
526	1086	975
527	1089	973
528	1092	972
529	1094	970
